Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.8189982907780776,0.523020706455542,0.6962158904567781,0.49756572541382665,0.33224967490247076
2,0.6932442364971472,0.523020706455542,0.6933096599091342,0.5131450827653359,0.5126418890702706
3,0.6978384377459806,0.5198538367844092,0.6949731138804175,0.4946445959104187,0.3309446254071661
4,0.6989558312982938,0.5096224116930572,0.6941961236914734,0.5082765335929893,0.43401775532141273
5,0.7059393699654127,0.5042630937880633,0.6974976777217868,0.5024342745861733,0.33441348023331174
6,0.6935774344910077,0.5266747868453105,0.6970788582854749,0.5024342745861733,0.33441348023331174
7,0.697148291144098,0.5093788063337393,0.6964561238144946,0.5024342745861733,0.33441348023331174
8,0.6935259932577247,0.5174177831912302,0.6968290891131965,0.5024342745861733,0.33441348023331174
9,0.6925570653794598,0.5286236297198539,0.6926856465209656,0.5141187925998053,0.5098358413525227
10,0.6930387729413617,0.5320341047503045,0.6928598435038833,0.5111976630963972,0.5071562404405017
11,0.696395726819567,0.5166869671132764,0.6939749644004614,0.5024342745861733,0.33441348023331174
12,0.6970041560197429,0.5322777101096224,0.7015169330790073,0.5024342745861733,0.33441348023331174
13,0.6926022964621578,0.5291108404384897,0.704797888219995,0.5024342745861733,0.33441348023331174
14,0.692128649393911,0.5193666260657734,0.6966419893207197,0.5024342745861733,0.33441348023331174
15,0.693904238510945,0.515468940316687,0.6970160660400131,0.5024342745861733,0.33441348023331174
16,0.6933763553396357,0.5166869671132764,0.7070970400050646,0.5024342745861733,0.33441348023331174
