Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.8209021511739187,0.5046228710462287,0.6923916497583056,0.5437743190661478,0.352236925015753
2,0.697335700948163,0.502676399026764,0.6901155691666362,0.5437743190661478,0.352236925015753
3,0.6951953563666982,0.5128953771289537,0.6907033572401055,0.5437743190661478,0.352236925015753
4,0.7010263118430646,0.5063260340632604,0.6891971506497275,0.5437743190661478,0.352236925015753
5,0.6948311091919595,0.5128953771289537,0.6982423711843527,0.45622568093385213,0.3132932531730127
6,0.7038143663220742,0.4834549878345499,0.6923520142930027,0.5369649805447471,0.5147404163493272
7,0.6970762986336311,0.49878345498783455,0.6884945923252328,0.5369649805447471,0.39793392293798324
8,0.6977164266173277,0.49878345498783455,0.689546291466353,0.5437743190661478,0.352236925015753
9,0.6965728699145816,0.5070559610705596,0.6902811889054711,0.546692607003891,0.5069087615283268
10,0.6986045610005548,0.5038929440389295,0.6867744774206139,0.5379377431906615,0.49397652788932356
11,0.6926884701362201,0.5192214111922141,0.6901746529085627,0.5437743190661478,0.352236925015753
12,0.6973237704186543,0.5170316301703163,0.6935148786478006,0.5389105058365758,0.5325407911096103
13,0.6966656779140742,0.5116788321167883,0.6890230382926733,0.5437743190661478,0.352236925015753
14,0.6954259987585156,0.5063260340632604,0.6889702485229254,0.5437743190661478,0.352236925015753
15,0.697715153108258,0.497323600973236,0.6939403834509942,0.5116731517509727,0.5116713033933269
16,0.6962019869010814,0.5172749391727494,0.6889616012109393,0.5437743190661478,0.352236925015753
17,0.6941971708678271,0.5111922141119222,0.7013147876884223,0.45622568093385213,0.3132932531730127
