Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.8288393217281703,0.4992700729927007,0.6882660820326453,0.5437743190661478,0.352236925015753
2,0.6990948748124487,0.5138686131386861,0.6884597781103409,0.5398832684824902,0.37920089881328556
3,0.696966548760732,0.49902676399026763,0.6880761932306253,0.5398832684824902,0.3544145313954245
4,0.6994532099895524,0.4936739659367397,0.6880663777139864,0.5437743190661478,0.352236925015753
5,0.6966452731123226,0.524574209245742,0.7468653743369106,0.45622568093385213,0.3132932531730127
6,0.711606601554982,0.49805352798053526,0.6895160563724978,0.5437743190661478,0.352236925015753
7,0.6956993299969212,0.5065693430656935,0.7194072056837119,0.45622568093385213,0.3132932531730127
8,0.6962952632103523,0.5128953771289537,0.6869059453214653,0.5554474708171206,0.50120558934792
9,0.7011138848724736,0.5009732360097323,0.6891683163809869,0.5437743190661478,0.352236925015753
10,0.6950810491893703,0.5177615571776155,0.6937730521079631,0.5058365758754864,0.505469696969697
11,0.6977298664640627,0.5060827250608273,0.6966852019269179,0.46400778210116733,0.3444598368406008
12,0.6934141723198902,0.5172749391727494,0.6895393736167641,0.5321011673151751,0.5265816022204712
13,0.691958728207869,0.5306569343065694,0.6920508740013211,0.5038910505836576,0.5008682538957181
14,0.6928034956727874,0.5172749391727494,0.6974919832634091,0.5068093385214008,0.5044454776499583
15,0.695117311495064,0.5199513381995133,0.6982139996053643,0.4990272373540856,0.49779118046866627
