Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.8243644683860069,0.5015911872705018,0.7172753758393156,0.5440313111545988,0.3523447401774398
2,0.7011727702369597,0.5008567931456548,0.7300511364134323,0.45596868884540115,0.3131720430107527
3,0.6949584491687714,0.5172582619339046,0.7355981632454754,0.4589041095890411,0.3236688267006528
4,0.6989492398872515,0.5165238678090576,0.6901648128569243,0.5440313111545988,0.3523447401774398
5,0.6967037239448239,0.5082007343941248,0.6978972760665206,0.45596868884540115,0.3131720430107527
6,0.6972745795582616,0.49473684210526314,0.6896578159817511,0.5440313111545988,0.3523447401774398
7,0.6987647190817713,0.5025703794369645,0.6902404614157406,0.5440313111545988,0.3523447401774398
8,0.7013734020538984,0.49253365973072216,0.6953423931873941,0.45596868884540115,0.3131720430107527
9,0.6962546403580225,0.5030599755201959,0.6924828338763018,0.5166340508806262,0.5059922660237341
10,0.6958089468674677,0.5152998776009792,0.7018662968727007,0.45596868884540115,0.3131720430107527
11,0.6956395949844631,0.5106487148102815,0.6895696960549998,0.5440313111545988,0.3523447401774398
12,0.6985619565556361,0.5089351285189718,0.691453947596354,0.5440313111545988,0.3523447401774398
13,0.6962583462640443,0.5015911872705018,0.6939567306503625,0.5058708414872799,0.5033368458025992
