Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.871290777,0.536015897,0.684365252,0.579940417,0.367064739
2,0.685802719,0.56780924,0.681160576,0.579940417,0.367064739
3,0.690668069,0.549677099,0.682738678,0.579940417,0.367064739
4,0.689095975,0.558618977,0.697658297,0.420059583,0.295804196
5,0.691697594,0.546696473,0.681638912,0.579940417,0.367064739
6,0.685253643,0.562593145,0.692921423,0.579940417,0.367064739
7,0.699101021,0.538002981,0.681439832,0.579940417,0.367064739
8,0.686369825,0.565822156,0.682757184,0.579940417,0.367064739
9,0.68567922,0.565077,0.680040285,0.579940417,0.367064739
10,0.686975188,0.561599603,0.679835685,0.579940417,0.367064739
11,0.687616456,0.559364133,0.679580066,0.579940417,0.367064739
12,0.684100169,0.55787382,0.682300926,0.532274081,0.530131511
13,0.685175575,0.567064083,0.680913409,0.579940417,0.367064739
14,0.688019052,0.554644809,0.71011027,0.579940417,0.367064739
15,0.687098238,0.559364133,0.680665825,0.579940417,0.367064739
16,0.686799259,0.570293095,0.684446702,0.579940417,0.367064739
17,0.685291186,0.569299553,0.681695874,0.579940417,0.367064739
18,0.685140334,0.568802782,0.68862864,0.579940417,0.367064739
