Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.8312543689035902,0.49779411764705883,0.6932503083172966,0.5107843137254902,0.33809214795587283
2,0.6958327421955034,0.5117647058823529,0.7421983868468042,0.4892156862745098,0.3285055957867018
3,0.6978600845617406,0.5066176470588235,0.6932822699640312,0.5107843137254902,0.33809214795587283
4,0.7030988983079499,0.4950980392156863,0.7066006464116713,0.4892156862745098,0.3285055957867018
5,0.6979678799124325,0.5063725490196078,0.7104079945414674,0.4892156862745098,0.3285055957867018
6,0.6975310458856471,0.5105392156862745,0.6925051432029874,0.4892156862745098,0.3285055957867018
7,0.6967900107888615,0.5112745098039215,0.6930072546005249,0.5107843137254902,0.33809214795587283
8,0.6992839345745012,0.5174019607843138,0.6964187624407749,0.5107843137254902,0.33809214795587283
9,0.6958315552449694,0.5205882352941177,0.6957532253919864,0.4892156862745098,0.3285055957867018
10,0.693069755563549,0.5176470588235295,0.6944352416431203,0.503921568627451,0.4385703842940685
11,0.6934662222862243,0.5105392156862745,0.6941314973083197,0.4892156862745098,0.3285055957867018
12,0.6937598810476415,0.5227941176470589,0.692590742485196,0.5147058823529411,0.36833729712417695
13,0.6945772217769249,0.5240196078431373,0.6976442250550962,0.4892156862745098,0.3285055957867018
