Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.7961331910460535,0.5017031630170317,0.6911822014745571,0.5437743190661478,0.352236925015753
2,0.7015913160177913,0.5094890510948905,0.6947173984134244,0.4581712062256809,0.3261665954700097
3,0.7030791333992116,0.49318734793187347,0.6942197729177512,0.4571984435797665,0.32567817291822426
4,0.6974176177143181,0.48686131386861314,0.6891047096437981,0.5437743190661478,0.352236925015753
5,0.7010234049056858,0.505596107055961,0.6927532741531788,0.5437743190661478,0.352236925015753
6,0.7003372454875287,0.4895377128953771,0.6942427320702994,0.47470817120622566,0.4319628348648261
7,0.6963332001890289,0.5077858880778588,0.689648008068248,0.5437743190661478,0.352236925015753
8,0.699704577365931,0.5109489051094891,0.6930621150402707,0.4990272373540856,0.4973716015239679
9,0.6986724015860082,0.5009732360097323,0.6893302141924312,0.5437743190661478,0.352236925015753
10,0.6944815466873837,0.5138686131386861,0.6895911623995592,0.5437743190661478,0.352236925015753
11,0.6967465142263983,0.4961070559610706,0.690300739460882,0.5437743190661478,0.352236925015753
