Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.8257822972466107,0.5367534456355283,0.7063602698092558,0.5224489795918368,0.34316353887399464
2,0.6904732611119717,0.5477284328739153,0.7067003960512123,0.5224489795918368,0.34316353887399464
3,0.6928481551504305,0.537263910158244,0.6952197352234198,0.4775510204081633,0.32320441988950277
4,0.6938520927645833,0.5393057682491067,0.6961740437819033,0.5224489795918368,0.34316353887399464
5,0.6939421803322052,0.5428790199081164,0.7005505827008461,0.5224489795918368,0.34316353887399464
6,0.6888462404562175,0.5479836651352731,0.6933397414732952,0.5224489795918368,0.34316353887399464
7,0.6904876377279506,0.544920877998979,0.6953586400771627,0.5224489795918368,0.34316353887399464
8,0.6904013955879114,0.5505359877488515,0.7228840261089559,0.5224489795918368,0.34316353887399464
9,0.6899612107527627,0.5479836651352731,0.7041641018828567,0.5224489795918368,0.34316353887399464
10,0.6871166455617908,0.554364471669219,0.7306765201140423,0.5224489795918368,0.34316353887399464
11,0.6859497184531916,0.5525778458397141,0.6949983012919523,0.4969387755102041,0.4919615432743317
12,0.6862047143040901,0.5446656457376212,0.6981179728799937,0.5010204081632653,0.4742852629396451
13,0.684220082148902,0.5553854007146504,0.695996669847138,0.5224489795918368,0.34316353887399464
