Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.8502591771614261,0.4897560975609756,0.6966547478012174,0.4902534113060429,0.328973185088293
2,0.6987663757510302,0.5026829268292683,0.697139054711102,0.4902534113060429,0.328973185088293
3,0.7038702703685296,0.4929268292682927,0.7080965523134198,0.4902534113060429,0.328973185088293
4,0.7015499510997679,0.4997560975609756,0.6929345667710778,0.5097465886939572,0.3376371852808263
5,0.6986660837545627,0.5148780487804878,0.7505949431227894,0.4902534113060429,0.328973185088293
6,0.7016770647211773,0.4968292682926829,0.6963402118831582,0.5097465886939572,0.3376371852808263
7,0.6985251302835418,0.5,0.7087867315749676,0.4902534113060429,0.328973185088293
8,0.6998862043822683,0.4919512195121951,0.6960931863004004,0.4902534113060429,0.328973185088293
9,0.698521785270877,0.5102439024390244,0.7019868013222083,0.5097465886939572,0.3376371852808263
10,0.6978783171351363,0.5085365853658537,0.7066057004891408,0.5097465886939572,0.3376371852808263
11,0.6980292345837849,0.5141463414634146,0.692184472757938,0.5155945419103314,0.49705237471976105
12,0.6987971238392156,0.5095121951219512,0.6929134216457314,0.5097465886939572,0.3376371852808263
13,0.6946138166218269,0.4970731707317073,0.6939493966149075,0.5097465886939572,0.3376371852808263
14,0.694086423443585,0.5131707317073171,0.6940707280854268,0.5097465886939572,0.3376371852808263
15,0.6970571192299447,0.4978048780487805,0.6930562706253914,0.5107212475633528,0.4925796027742749
16,0.6931908463268746,0.5063414634146342,0.7023925812620866,0.5097465886939572,0.3376371852808263
17,0.6960816183322813,0.504390243902439,0.6926170857096741,0.5097465886939572,0.3376371852808263
18,0.6945893030631833,0.5104878048780488,0.6928662541549341,0.5097465886939572,0.3376371852808263
