Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Val_F1
1,0.8045902819929692,0.4945188794153471,0.6941104080916147,0.4605647517039922,0.31533333333333335
2,0.7016799852996157,0.49378806333739345,0.6937307498355223,0.4605647517039922,0.31533333333333335
3,0.7016012477090675,0.5020706455542022,0.6980490386776241,0.4605647517039922,0.31533333333333335
4,0.693276049013405,0.5235079171741779,0.6922055150308767,0.5248296007789679,0.5047080681503735
5,0.6977507746030874,0.5171741778319123,0.7072038135718928,0.4605647517039922,0.31533333333333335
6,0.6964724394639139,0.5028014616321559,0.6917855363509672,0.5394352482960078,0.3504111321948134
7,0.7022811814289581,0.5020706455542022,0.695239475430393,0.4810126582278481,0.45508997534226664
8,0.6937867694011414,0.515468940316687,0.7402439005419017,0.4605647517039922,0.31533333333333335
9,0.7020365917726208,0.4891595615103532,0.6943211923439524,0.5394352482960078,0.3504111321948134
10,0.6984556106353649,0.49573690621193667,0.6899580339726129,0.5394352482960078,0.3504111321948134
11,0.6938431100926649,0.5191230207064556,0.6908053393605389,0.5394352482960078,0.3504111321948134
12,0.6940738802850609,0.5101096224116931,0.6898913952252649,0.5394352482960078,0.3504111321948134
13,0.6960446922265074,0.510353227771011,0.6995674208633623,0.4644595910418695,0.3322338866033007
14,0.6955909223562327,0.5030450669914738,0.6901839770732163,0.5394352482960078,0.3652417073377892
15,0.6939901499742422,0.5213154689403167,0.6961385923444122,0.5394352482960078,0.3504111321948134
16,0.695878300553553,0.5015834348355663,0.6931257578158913,0.4917234664070107,0.49125993577333904
17,0.693862556293153,0.5125456760048721,0.6986520069251391,0.4605647517039922,0.31533333333333335
